iter	Accuracy	MultiClass
101	0.8454459055	0.4402329842
102	0.8458789986	0.4393915468
103	0.8459752415	0.4387315445
104	0.846023363	0.4382549688
105	0.8464564561	0.4374522051
106	0.8464323954	0.436440621
107	0.8467451848	0.4358995527
108	0.8468534581	0.4354238109
109	0.8470700047	0.4349930965
110	0.8471542172	0.4346301385
111	0.8473346727	0.4340773682
112	0.8474910675	0.4333378869
113	0.8475391889	0.4329402901
114	0.8476594926	0.4321723359
115	0.8480324339	0.4315050618
116	0.8480805553	0.4312401195
117	0.8483813144	0.430752579
118	0.8484174055	0.430377825
119	0.848465527	0.4300746356
120	0.848862529	0.4294202034
121	0.8490670452	0.4289671424
122	0.8491151667	0.4286920955
123	0.8492354703	0.4279605344
124	0.8496084116	0.4271758622
125	0.8497407456	0.4267171132
126	0.84988511	0.4263555754
127	0.8500294744	0.4260728258
128	0.8499933833	0.4258077444
129	0.8501136869	0.4254948305
130	0.8502700817	0.4251794735
131	0.8503302335	0.4248874211
132	0.8503903853	0.4244801529
133	0.8505708408	0.4236338693
134	0.8506911444	0.4230118977
135	0.8509197214	0.4224825082
136	0.8510039339	0.4221417428
137	0.8510279947	0.4219177285
138	0.8511843894	0.4216611623
139	0.8512565716	0.4211765933
140	0.8515934218	0.4205469494
141	0.85153327	0.4201675881
142	0.8518219987	0.4195767931
143	0.8518821505	0.4193705885
144	0.8521468186	0.4190873872
145	0.8522671222	0.418739116
146	0.8524836688	0.4181908696
147	0.8525077295	0.417618522
148	0.8528445797	0.4170690235
149	0.8529889441	0.4167073581
150	0.8529769137	0.4164119089
151	0.8531453388	0.4162107019
152	0.8533378247	0.4157649632
153	0.8534220372	0.4153041758
154	0.8534581283	0.4151871127
155	0.8533979765	0.414915786
156	0.8535543712	0.414633822
157	0.8536626445	0.4143409638
158	0.8537949785	0.4139445622
159	0.8538551303	0.4137833516
160	0.8540596465	0.4132431538
161	0.8541679198	0.4131077156
162	0.8542521324	0.4127410193
163	0.8542521324	0.4126434667
164	0.8543243146	0.4124534211
165	0.854372436	0.4123762133
166	0.8545168004	0.4120969644
167	0.8545769522	0.4117638164
168	0.8545528915	0.4115812425
169	0.8546250737	0.4113509634
170	0.8548416202	0.4108345559
171	0.8548175595	0.4106904065
172	0.8548777113	0.4102538271
173	0.8548416202	0.4097189171
174	0.8547453773	0.4096039855
175	0.8551183186	0.4091998693
